Fatty Acid,Control (mg/kg),Treatment (mg/kg),
Undecanedioic acid (11:0),0.12 ± 0.004,0.11 ± 0.009,
Tridecanoic acid (13:0),0.04 ± 0.008,0.04 ± 0.008,
Myristic acid (14:0),4.62 ± 0.48,4.21 ± 0.29,
Pentadecanoic acid (15:0),0.44 ± 0.01,0.41 ± 0.03,
Palmitic acid (16:0),606.42 ± 22.50,565.10 ± 32.51,
Margaric acid (17:0),4.07 ± 0.02,3.84 ± 0.35,
Stearic acid (18:0),721.06 ± 36.82,664.16 ± 30.31,
Oleic acid (18:1),7.16 ± 1.97,6.45 ± 0.62,
Linoleic acid (18:2),1.36 ± 0.24,1.37 ± 0.28,
Arachidic acid (20:0),3.72 ± 0.14,3.34 ± 0.27,
Heneicosanic acid (21:0),0.58 ± 0.04,0.55 ± 0.05,
Behenic acid (22:0),0.22 ± 0.02,0.19 ± 0.03,
Erucic acid (22:1),2.36 ± 0.15,2.13 ± 0.25,
Tricosanoic acid (23:0),0.03 ± 0.01,0.01 ± 0.004,
,,出一张图,